release_date,title,budget,revenue
1964-10-21,My Fair Lady,17000000.0,72070731.0
1965-02-15,The Greatest Story Ever Told,20000000.0,15473333.0
1965-03-02,The Sound of Music,8200000.0,286214286.0
1965-04-07,Major Dundee,3800000.0,14873.0
1965-06-03,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,5600000.0,29950000.0
1965-07-01,The Great Race,12000000.0,25333333.0
1965-12-10,A Patch of Blue,800000.0,6792000.0
1965-12-16,Thunderball,5500000.0,141195658.0
1965-12-18,For a Few Dollars More,600000.0,15000000.0
1965-12-22,Doctor Zhivago,11000000.0,111858363.0
1966-01-09,Dracula: Prince of Darkness,280379.0,364937.0
1966-02-23,Harper,3500000.0,12000000.0
1966-06-21,Who's Afraid of Virginia Woolf?,7500000.0,33736689.0
1966-07-13,Torn Curtain,3000000.0,13000000.0
1966-08-24,Fantastic Voyage,5115000.0,12000000.0
1966-09-08,The Battle of Algiers,800000.0,921548.0
1966-10-10,Hawaii,15000000.0,34562222.0
1966-12-12,A Man for All Seasons,3900000.0,28350000.0
1966-12-17,El Dorado,4653000.0,6000000.0
1966-12-20,The Sand Pebbles,12000000.0,20000000.0
1966-12-23,"The Good, the Bad and the Ugly",1200000.0,6000000.0
1967-01-05,A Countess from Hong Kong,3500000.0,2000000.0
1967-03-21,Hombre,5860000.0,12000000.0
1967-04-13,Casino Royale,12000000.0,41744718.0
1967-06-12,You Only Live Twice,9500000.0,111584787.0
1967-06-15,The Dirty Dozen,5400000.0,45300000.0
1967-06-22,Cool Hand Luke,3000000.0,16217773.0
1967-07-18,Bonnie and Clyde,2500000.0,50700000.0
1967-08-02,In the Heat of the Night,2000000.0,27379978.0
1967-08-18,The Born Losers,360000.0,36000000.0
1967-08-30,Point Blank,2500000.0,3200000.0
1967-10-17,The Jungle Book,4000000.0,205843612.0
1967-10-26,Wait Until Dark,4000000.0,11000000.0
1967-12-11,Guess Who's Coming to Dinner,4000000.0,56666667.0
1967-12-14,In Cold Blood,3500000.0,13007551.0
1967-12-19,Doctor Dolittle,18000000.0,9000000.0
1967-12-21,The Graduate,3000000.0,104945305.0
1967-12-27,Valley of the Dolls,5000000.0,50000000.0
1968-02-07,Planet of the Apes,5800000.0,33395426.0
1968-03-22,The Bride Wore Black,747000.0,44566.0
1968-04-10,2001: A Space Odyssey,10500000.0,68700000.0
1968-06-12,Rosemary's Baby,3200000.0,33395426.0
1968-07-04,The Green Berets,7000000.0,11000000.0
1968-07-18,Star!,14320000.0,14000000.0
1968-07-31,Hang 'em High,1800000.0,6800000.0
1968-09-19,Funny Girl,14000000.0,52223306.0
1968-09-23,Charly,950000.0,814666.0
1968-09-26,Oliver!,10000000.0,37402877.0
1968-10-01,Night of the Living Dead,114000.0,30000000.0
1968-10-10,Barbarella,9000000.0,2500000.0
1968-10-15,Vixen!,76000.0,6000000.0
1968-10-17,Bullitt,5500000.0,42300873.0
1968-11-06,Shalako,1455000.0,2620000.0
1968-12-04,Where Eagles Dare,7700000.0,21000000.0
1968-12-21,Once Upon a Time in the West,5000000.0,5321508.0
1969-01-01,Sweet Charity,8000000.0,20000000.0
1969-04-30,Hard Contract,4000000.0,1750000.0
1969-05-25,Midnight Cowboy,3600000.0,44785053.0
1969-06-17,The Wild Bunch,6244087.0,638641.0
1969-09-17,Bob & Carol & Ted & Alice,2000000.0,30000000.0
1969-09-23,Butch Cassidy and the Sundance Kid,6000000.0,102308889.0
1969-10-15,Paint Your Wagon,20000000.0,31678778.0
1969-12-12,"Hello, Dolly!",24000000.0,33208099.0
1969-12-12,On Her Majesty's Secret Service,6500000.0,81974493.0
1969-12-18,Topaz,4000000.0,6000000.0
1970-01-24,M*A*S*H,3500000.0,81600000.0
1970-01-25,Patton,12000000.0,89800000.0
1970-01-26,Tora! Tora! Tora!,25485000.0,29548291.0
1970-01-27,The Molly Maguires,11000000.0,2200000.0
1970-02-09,Zabriskie Point,7000000.0,1000000.0
1970-03-05,Airport,10000000.0,100489151.0
1970-03-26,Woodstock,600000.0,34505110.0
1970-05-01,Beneath the Planet of the Apes,3000000.0,18999718.0
1970-05-13,The Ballad of Cable Hogue,3716946.0,5000000.0
1970-06-22,Kelly's Heroes,4000000.0,5200000.0
1970-06-24,Catch-22,18000000.0,24911670.0
1970-06-24,Myra Breckinridge,5000000.0,3000000.0
1970-07-15,Joe,106000.0,19319254.0
1970-07-17,Beyond the Valley of the Dolls,2090000.0,40000000.0
1970-10-26,Waterloo,25000000.0,3052000.0
1970-10-29,The Private Life of Sherlock Holmes,10000000.0,1500000.0
1970-12-14,Little Big Man,15000000.0,31559552.0
1970-12-16,Love Story,2200000.0,136400000.0
1970-12-23,The Aristocats,4000000.0,55675257.0
1971-01-15,Vanishing Point,1300000.0,72266306.0
1971-03-11,THX 1138,777000.0,2437000.0
1971-03-12,The Andromeda Strain,6500000.0,12376563.0
1971-04-23,Sweet Sweetback's Baadasssss Song,150000.0,15200000.0
1971-04-28,Bananas,2000000.0,11833696.0
1971-05-20,Escape from the Planet of the Apes,2500000.0,12348905.0
1971-06-29,Willy Wonka & the Chocolate Factory,3000000.0,4000000.0
1971-07-02,Shaft,4000000.0,12121618.0
1971-07-14,The Touch,6900000.0,6530000.0
1971-10-03,The Last Picture Show,1300000.0,29133000.0
1971-10-07,Bedknobs and Broomsticks,20000000.0,17900000.0
1971-10-09,The French Connection,1800000.0,41158757.0
1971-11-03,Fiddler on the Roof,9000000.0,83304330.0
1971-11-03,Play Misty for Me,725000.0,10600000.0
1971-12-13,Diamonds Are Forever,7200000.0,116019547.0
1971-12-18,A Clockwork Orange,2200000.0,26589000.0
1971-12-21,Dirty Harry,4000000.0,35976000.0
1971-12-29,Straw Dogs,2200000.0,3251794.0
1972-01-13,The Cowboys,6000000.0,7500000.0
1972-02-19,The Goalie's Anxiety at the Penalty Kick,410000.0,100.0
1972-03-12,Pink Flamingos,12000.0,6000000.0
1972-03-14,The Godfather,6000000.0,245066411.0
1972-05-25,Frenzy,3500000.0,12600000.0
1972-06-01,The Way of the Dragon,130000.0,85000000.0
1972-06-08,Shaft's Big Score!,1978000.0,10000000.0
1972-06-29,Conquest of the Planet of the Apes,1700000.0,9700000.0
1972-07-30,Deliverance,2000000.0,46122355.0
1972-08-01,The Legend of Boggy Creek,100000.0,22000000.0
1972-08-06,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2000000.0,18016290.0
1972-10-14,Last Tango in Paris,1250000.0,36144000.0
1972-12-01,The Poseidon Adventure,5000000.0,84563118.0
1972-12-13,The Getaway,3352254.0,58831997.0
1973-04-19,High Plains Drifter,5500000.0,15700000.0
1973-05-23,Pat Garrett & Billy the Kid,4638783.0,11000000.0
1973-06-14,Shaft in Africa,2142000.0,1458000.0
1973-06-15,Battle for the Planet of the Apes,1700000.0,8844595.0
1973-07-05,Live and Let Die,7000000.0,161777836.0
